,Heterozygosity,Year
1,0.024307194,2018
2,0.028697419,2018
3,0.024355727,2018
4,0.025740599,2018
5,0.03702867,2016
6,0.047258845,2016
7,0.040128915,2016
8,0.02618149,2020
9,0.027561645,2016
10,0.028945001,2017
11,0.040387553,2016
12,0.047501344,2020
13,0.044258455,2020
14,0.027981137,2020
15,0.026975954,2018
16,0.027172542,2018
17,0.028233374,2018
18,0.024546194,2022
19,0.023863366,2022
20,0.023319425,2022
21,0.027694466,2022
22,0.024824522,2022
23,0.023056603,2022
24,0.027006211,2022
25,0.022186231,2022
26,0.042846232,2020
27,0.037912059,2020
28,0.028921048,2020
29,0.036145147,2020
30,0.025182623,2016
31,0.033928392,2020
32,0.030036212,2016
33,0.045055005,2016
34,0.024907124,2016
35,0.025488325,2016
36,0.02437033,2016
37,0.041354307,2020
38,0.033987374,2020
39,0.033365095,2018
40,0.046773439,2020
41,0.02790058,2017
42,0.027660945,2018
43,0.02430609,2020
44,0.024493419,2020
45,0.027984707,2020
46,0.02493007,2020
47,0.027012895,2020
48,0.025533739,2020
49,0.027827133,2020
50,0.02320895,2020
51,0.033934158,2020
52,0.023736693,2020
53,0.023234033,2020
54,0.024749121,2020
55,0.039919377,2019
56,0.034412669,2018
57,0.023276876,2018
