a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	281-G236	281-G241	3894	0.87604	0	0	0.017664	0	0.055084	0	0.051211	0.000002	0.000002	0.106296	0.068876	0.000002	0.000002	0.000002	0.051211	0.000002	0.051213	0.087587	0.01871	-4856.166289	82	-1	0.942401	"5.699717e-01,1.434866e-01,2.588973e-02,1.438612e-01,5.453910e-02,1.352169e-02,3.040842e-02,1.325398e-02,5.067566e-03"	1.032253	0.147235	-0.137186	-5403.462585	6
0	2	281-G236	281-G239	4063	0.798873	0	0	0.092227	0	0.09752	0	0.011379	0	0	0.1089	0.103607	0	0	0	0.011379	0	0.011379	0.106253	0.002647	-5127.493375	114	-1	0.983301	"5.662028e-01,1.452134e-01,2.845283e-02,1.418387e-01,5.419857e-02,1.533846e-02,2.819476e-02,1.444675e-02,6.113791e-03"	1.045186	0.145116	-0.138974	-5675.717236	6
0	3	281-G236	281-G226	4062	0.823557	0	0	0.069391	0	0.091776	0	0.010685	0.004591	0.004591	0.107052	0.084667	0.004591	0.004591	0.004591	0.010685	0.004591	0.015276	0.095859	0.011192	-5081.910307	66	-1	0.983059	"5.627045e-01,1.503614e-01,2.575012e-02,1.462421e-01,5.100157e-02,1.493485e-02,2.916949e-02,1.465365e-02,5.182223e-03"	1.076822	0.133823	-0.137408	-5652.086959	7
0	4	281-G236	268-G25	3078	0.80552	0.000027	0	0.075524	0.002049	0.1118	0.000008	0.000017	0.005055	0.006611	0.11688	0.082645	0.006091	0.005059	0.00608	0.000017	0.005055	0.005072	0.100804	0.018138	-3821.208581	46	-1	0.744918	"5.760489e-01,1.428499e-01,2.474463e-02,1.419169e-01,5.085430e-02,1.393053e-02,2.660754e-02,1.695052e-02,6.096766e-03"	1.00979	0.138568	-0.124234	-4275.977834	9
0	5	281-G236	268-G23	2488	0.91329	0	0	0.002092	0	0.077343	0.005224	0.000106	0.001944	0.005863	0.084618	0.004142	0.004556	0.004556	0.001944	0.000106	0.001944	0.002051	0.046992	0.037626	-3120.779649	70	-1	0.60213	"5.653907e-01,1.599773e-01,1.907515e-02,1.390728e-01,6.298852e-02,9.816634e-03,2.185561e-02,1.948788e-02,2.335499e-03"	0.649813	0.170569	-0.04154	-3442.197754	10
0	6	281-G236	268-G30	2676	0.783221	0.00001	0	0.110805	0	0.10594	0	0.000023	0	0.000005	0.105964	0.110829	0.000003	0	0	0.000023	0	0.000023	0.108401	-0.002432	-3352.7298	406	-1	0.647628	"5.758679e-01,1.390545e-01,2.655755e-02,1.442132e-01,4.874012e-02,1.668908e-02,2.834056e-02,1.799003e-02,2.546980e-03"	1.126343	0.130725	-0.146972	-3724.867774	7
0	7	281-G236	B22	4028	0.827873	0	0	0.064556	0	0.100197	0.00553	0.000155	0.001689	0.005836	0.107571	0.066401	0.004454	0.004454	0.001689	0.000155	0.001689	0.001844	0.089751	0.01782	-5059.046227	106	-1	0.974831	"5.640982e-01,1.513467e-01,2.394228e-02,1.452385e-01,5.161173e-02,1.503103e-02,2.629390e-02,1.652680e-02,5.910817e-03"	0.973348	0.136402	-0.113269	-5590.804156	6
0	8	281-G236	268-G252	4060	0.870565	0.008864	0	0.014817	0	0.105755	0	0	0	0.004432	0.105755	0.014817	0.002216	0	0	0	0	0	0.064718	0.045469	-5082.583005	90	-1	0.982575	"5.666098e-01,1.531566e-01,1.989938e-02,1.358254e-01,6.124235e-02,1.474873e-02,2.407248e-02,1.833531e-02,6.109972e-03"	0.717998	0.167312	-0.060064	-5644.457816	9
0	9	281-G236	274-G12	3998	0.836528	0.000035	0.000001	0.056933	0	0.085687	0	0.020808	0.000009	0.000027	0.106503	0.077749	0.000018	0.000009	0.000009	0.020809	0.000009	0.020818	0.092145	0.014377	-4992.157558	54	-1	0.96757	"5.721914e-01,1.441846e-01,2.427330e-02,1.392626e-01,5.556813e-02,1.619933e-02,2.949691e-02,1.428185e-02,4.541893e-03"	0.967645	0.151124	-0.122269	-5535.018009	6
0	10	281-G236	268-G28	3381	0.823711	0	0	0.07492	0.000002	0.087813	0.007883	0.004328	0.001343	0.007257	0.101367	0.080594	0.005286	0.005285	0.001344	0.004328	0.001343	0.005672	0.094923	0.006446	-4198.439829	94	-1	0.818248	"5.750603e-01,1.373811e-01,2.453618e-02,1.455314e-01,5.468452e-02,1.288011e-02,2.544328e-02,1.842842e-02,6.054699e-03"	0.91396	0.150149	-0.106883	-4671.835009	9
