a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	281-G230	274-G16	2751	0.967544	0	0	0.032454	0	0	0	0.000002	0	0	0.000002	0.032456	0	0	0	0.000002	0	0.000002	0.016229	-0.016227	-3493.191132	46	-1	0.628369	"5.289196e-01,1.503458e-01,2.861179e-02,1.659497e-01,7.975443e-02,1.239864e-02,1.746132e-02,1.481360e-02,1.745031e-03"	0.577687	0.204719	-0.024635	-3931.229371	10
0	2	281-G230	281-P1	2611	0.967821	0.000019	0	0.032149	0.00001	0	0	0	0.000001	0.000019	0.000001	0.03216	0.000011	0.000001	0.000006	0	0.000001	0.000001	0.016096	-0.016074	-3213.869943	54	-1	0.596391	"5.515953e-01,1.415408e-01,2.245305e-02,1.615454e-01,7.422758e-02,1.727217e-02,1.427705e-02,1.164375e-02,5.444907e-03"	0.494831	0.201305	0.001597	-3652.359996	7
0	3	281-G230	281-G54	4188	0.952315	0	0	0.047674	0	0	0	0.000011	0	0	0.000011	0.047684	0	0	0	0.000011	0	0.000011	0.023848	-0.023837	-5346.79861	62	-1	0.956601	"5.245127e-01,1.460770e-01,2.845948e-02,1.723153e-01,7.684987e-02,1.472526e-02,2.202610e-02,1.168907e-02,3.345227e-03"	0.656938	0.194413	-0.048387	-6070.769127	9
0	4	281-G230	281-G36	4287	0.939356	0.000002	0	0.060629	0	0.000007	0.000003	0.000003	0	0.000003	0.000014	0.060632	0.000002	0.000002	0	0.000003	0	0.000003	0.030325	-0.030311	-5504.215809	58	-1	0.979214	"5.227452e-01,1.488360e-01,2.748774e-02,1.752307e-01,7.033005e-02,1.804556e-02,2.057052e-02,1.377167e-02,2.982502e-03"	0.683325	0.174109	-0.051932	-6193.631066	9
0	5	281-G230	281-G51	4150	0.987323	0.000001	0.000004	0.012664	0	0	0.000004	0.000004	0	0.000008	0.000008	0.012668	0.000004	0.000002	0	0.000008	0	0.000008	0.006344	-0.006332	-5341.190347	54	-1	0.947921	"5.222949e-01,1.540198e-01,2.226259e-02,1.664777e-01,8.153783e-02,1.606804e-02,1.909074e-02,1.385990e-02,4.388527e-03"	0.507167	0.208122	-0.002276	-6001.124589	9
0	6	281-G230	281-G126	4290	0.92915	0.00001	0	0.070839	0	0	0	0	0.000001	0.000006	0.000001	0.07084	0.000003	0.000001	0.000001	0	0.000001	0.000001	0.035425	-0.03542	-5470.98424	66	-1	0.979899	"5.262516e-01,1.405740e-01,3.150221e-02,1.732900e-01,7.351875e-02,1.783516e-02,1.835282e-02,1.529883e-02,3.376676e-03"	0.678127	0.185254	-0.053015	-6211.558847	9
0	7	281-G230	281-G35	4293	0.930202	0.000005	0	0.069785	0	0.000004	0	0	0.000003	0.000006	0.000008	0.069788	0.000005	0.000003	0.000003	0	0.000003	0.000003	0.0349	-0.03489	-5553.218174	51	-1	0.980585	"5.185549e-01,1.504410e-01,2.945989e-02,1.748973e-01,6.965538e-02,1.997481e-02,1.884402e-02,1.540776e-02,2.764906e-03"	0.69347	0.170296	-0.053901	-6241.319897	9
0	8	281-G230	281-G43	4286	0.929294	0.000016	0	0.070688	0	0	0	0	0.000002	0.00001	0.000002	0.07069	0.000006	0.000002	0.000002	0	0.000002	0.000002	0.035354	-0.035344	-5443.789889	46	-1	0.978986	"5.319853e-01,1.421942e-01,2.543983e-02,1.734462e-01,6.922538e-02,2.086151e-02,1.834202e-02,1.267578e-02,5.829846e-03"	0.632454	0.176164	-0.037607	-6162.447867	9
0	9	281-G230	281-G44	4078	0.959072	0.000005	0	0.040919	0	0.000002	0	0	0.000001	0.000004	0.000003	0.04092	0.000002	0.000001	0.000001	0	0.000001	0.000001	0.020465	-0.020458	-5209.887431	62	-1	0.931476	"5.258060e-01,1.536919e-01,2.452564e-02,1.718031e-01,7.027510e-02,1.833727e-02,2.083266e-02,1.154214e-02,3.186220e-03"	0.645439	0.175367	-0.041219	-5869.376317	7
0	10	281-G230	281-G50	3779	0.919102	0.000005	0	0.080892	0	0.000001	0	0	0	0.000003	0.000001	0.080892	0.000001	0	0	0	0	0	0.040449	-0.040446	-4818.372285	54	-1	0.86318	"5.394577e-01,1.382578e-01,2.869908e-02,1.651605e-01,7.155514e-02,1.988043e-02,1.827188e-02,1.378503e-02,4.932532e-03"	0.65643	0.186315	-0.04662	-5451.563464	9
