"indexStart, indexStop; firstPos_withData, lastPos_withData; 
             WinStart, WinStop",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites,weightTajD
"(0,5396)(198993,41167392)(0,41167392)",NC_058106.1,20583696,380.072815,174.582984,0,0,0,-1.751005,0.925683,3.605233,0.26157,-0.497159,5396,-9448.42298
"(0,4874)(40849,39663980)(0,39663980)",NC_058107.1,19831990,334.525657,148.966134,0,0,0,-1.795958,0.896607,3.598406,0.253563,-0.497117,4874,-8753.499292
"(0,4731)(26264,38701453)(0,38701453)",NC_058108.1,19350726,339.972495,155.864634,0,0,0,-1.753424,0.923207,3.599317,0.261057,-0.497122,4731,-8295.448944
"(0,4924)(102908,37441247)(0,37441247)",NC_058109.1,18720623,358.226105,170.350524,0,0,0,-1.698332,0.957948,3.602171,0.270787,-0.49714,4924,-8362.586768
"(0,4680)(911932,36905513)(0,36905513)",NC_058110.1,18452756,333.98572,156.691641,0,0,0,-1.718727,0.94462,3.598315,0.267144,-0.497116,4680,-8043.64236
"(0,4650)(70686,36215710)(0,36215710)",NC_058111.1,18107855,332.404432,148.383502,0,0,0,-1.792405,0.898758,3.598044,0.254183,-0.497114,4650,-8334.68325
"(0,4765)(20587,35523366)(0,35523366)",NC_058112.1,17761683,346.657181,163.622929,0,0,0,-1.709661,0.950605,3.600396,0.268769,-0.497129,4765,-8146.534665
"(0,4706)(43998,35380666)(0,35380666)",NC_058113.1,17690333,316.504433,132.509377,0,0,0,-1.881962,0.842615,3.595176,0.238388,-0.497096,4706,-8856.513172
"(0,5000)(42321,35360518)(0,35360518)",NC_058114.1,17680259,340.678144,151.542997,0,0,0,-1.797581,0.895764,3.599433,0.253293,-0.497123,5000,-8987.905
"(0,4922)(15658,35233826)(0,35233826)",NC_058115.1,17616913,348.173892,156.564427,0,0,0,-1.78198,0.905662,3.600635,0.256055,-0.497131,4922,-8770.90556
"(0,4387)(21061,34619661)(0,34619661)",NC_058116.1,17309830,312.548993,150.464058,0,0,0,-1.678787,0.968801,3.594419,0.274112,-0.497092,4387,-7364.838569
"(0,4436)(53725,34115336)(0,34115336)",NC_058117.1,17057668,326.42935,149.521756,0,0,0,-1.754585,0.922105,3.596998,0.260819,-0.497108,4436,-7783.33906
"(0,4195)(29032,32827747)(0,32827747)",NC_058118.1,16413873,312.738787,142.768326,0,0,0,-1.759395,0.918696,3.594455,0.259935,-0.497092,4195,-7380.662025
"(0,4533)(22485,31980417)(0,31980417)",NC_058119.1,15990208,316.96204,137.054787,0,0,0,-1.837501,0.87027,3.595263,0.246209,-0.497097,4533,-8329.392033
"(0,4381)(208959,30710015)(0,30710015)",NC_058120.1,15355007,308.574025,136.185028,0,0,0,-1.808453,0.888067,3.593638,0.251294,-0.497087,4381,-7922.832593
"(0,4380)(65355,30692309)(0,30692309)",NC_058121.1,15346154,323.807995,156.669839,0,0,0,-1.671078,0.973949,3.596528,0.275499,-0.497105,4380,-7319.32164
"(0,4118)(48524,30491482)(0,30491482)",NC_058122.1,15245741,278.070382,124.23964,0,0,0,-1.790296,0.89826,3.586928,0.254386,-0.497045,4118,-7372.438928
"(0,4070)(56537,30489521)(0,30489521)",NC_058123.1,15244760,288.700991,133.575177,0,0,0,-1.73907,0.930498,3.589423,0.263435,-0.49706,4070,-7078.0149
"(0,4447)(26160,30318927)(0,30318927)",NC_058124.1,15159463,321.263315,150.631094,0,0,0,-1.719493,0.943769,3.596064,0.266977,-0.497102,4447,-7646.585371
"(0,3820)(19915,28326302)(0,28326302)",NC_058125.1,14163151,274.930633,137.45465,0,0,0,-1.618178,1.005054,3.586155,0.284656,-0.49704,3820,-6181.43996
"(0,3896)(10675,28099940)(0,28099940)",NC_058126.1,14049970,284.462629,128.332583,0,0,0,-1.776336,0.907182,3.58845,0.256865,-0.497054,3896,-6920.605056
"(0,3319)(152990,27547869)(0,27547869)",NC_058127.1,13773934,248.256956,115.693333,0,0,0,-1.72748,0.935931,3.578827,0.265317,-0.496993,3319,-5733.50612
"(0,3803)(69374,26408897)(0,26408897)",NC_058128.1,13204448,274.94065,130.278416,0,0,0,-1.702702,0.952547,3.586158,0.269785,-0.49704,3803,-6475.375706
"(0,2879)(41881,20543616)(0,20543616)",NC_058129.1,10271808,196.804285,96.419695,0,0,0,-1.648793,0.981413,3.5593,0.27888,-0.496869,2879,-4746.875047
,,,7499.691905,3448.367531,,,,-1.746382583,,,,,105312,-184255.369
,,,0.07121403,0.032744298,,,,,,,,,,-1.749614185
