"indexStart, indexStop; firstPos_withData, lastPos_withData; 
             WinStart, WinStop",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites
"(0,4771)(198993,41167392)(0,41167392)",NC_058106.1,20583696,174.234269,107.784302,0,0,0,-1.463065,1.144657,2.476493,0.518944,-0.865361,4771
"(0,4239)(121700,39663980)(0,39663980)",NC_058107.1,19831990,148.990404,101.050191,0,0,0,-1.233551,1.252875,2.471218,0.568826,-0.865012,4239
"(0,4149)(26264,38689358)(0,38689358)",NC_058108.1,19344679,144.944455,98.741097,0,0,0,-1.22189,1.258015,2.470206,0.571318,-0.864945,4149
"(0,4362)(102908,37441247)(0,37441247)",NC_058109.1,18720623,166.794851,110.897285,0,0,0,-1.285397,1.229704,2.475101,0.557714,-0.865269,4362
"(0,4100)(918070,36905513)(0,36905513)",NC_058110.1,18452756,149.350627,96.659135,0,0,0,-1.352551,1.195575,2.471306,0.542798,-0.865018,4100
"(0,4087)(71572,36215710)(0,36215710)",NC_058111.1,18107855,151.814346,102.264231,0,0,0,-1.251365,1.244608,2.471893,0.564968,-0.865057,4087
"(0,4200)(20587,35523366)(0,35523366)",NC_058112.1,17761683,149.170653,98.035357,0,0,0,-1.314181,1.214044,2.471262,0.551189,-0.865015,4200
"(0,4218)(43998,35380666)(0,35380666)",NC_058113.1,17690333,140.682192,90.576359,0,0,0,-1.365047,1.18853,2.469078,0.539929,-0.86487,4218
"(0,4430)(43825,35360518)(0,35360518)",NC_058114.1,17680259,147.218818,101.394417,0,0,0,-1.193232,1.272095,2.470781,0.577621,-0.864983,4430
"(0,4381)(15658,35233826)(0,35233826)",NC_058115.1,17616913,160.471246,102.368269,0,0,0,-1.38854,1.179382,2.473819,0.535078,-0.865184,4381
"(0,3762)(21061,34619661)(0,34619661)",NC_058116.1,17309830,133.761756,88.966711,0,0,0,-1.283181,1.227035,2.467097,0.557724,-0.864739,3762
"(0,3948)(53725,34115336)(0,34115336)",NC_058117.1,17057668,149.772278,102.609684,0,0,0,-1.207235,1.265645,2.471407,0.574594,-0.865025,3948
"(0,3677)(29032,32827747)(0,32827747)",NC_058118.1,16413873,141.819587,99.423975,0,0,0,-1.145777,1.29429,2.469385,0.587924,-0.864891,3677
"(0,4049)(22485,31980417)(0,31980417)",NC_058119.1,15990208,152.564168,106.884299,0,0,0,-1.147979,1.294515,2.472069,0.587595,-0.865069,4049
"(0,3949)(265537,30710007)(0,30710007)",NC_058120.1,15355003,137.787598,92.617234,0,0,0,-1.256313,1.240524,2.468273,0.563673,-0.864817,3949
"(0,3873)(85854,30692309)(0,30692309)",NC_058121.1,15346154,152.476975,105.646744,0,0,0,-1.177559,1.28025,2.472048,0.581123,-0.865067,3873
"(0,3690)(48524,30458246)(0,30458246)",NC_058122.1,15229123,126.635745,81.113251,0,0,0,-1.377006,1.180823,2.464836,0.537052,-0.864588,3690
"(0,3615)(56537,30489521)(0,30489521)",NC_058123.1,15244760,127.952355,80.898487,0,0,0,-1.40876,1.16574,2.465273,0.530129,-0.864617,3615
"(0,3912)(26160,30216045)(0,30216045)",NC_058124.1,15108022,141.323043,94.081647,0,0,0,-1.281202,1.228995,2.469251,0.558285,-0.864882,3912
"(0,3310)(47916,28326302)(0,28326302)",NC_058125.1,14163151,122.424249,83.634145,0,0,0,-1.213499,1.258822,2.46338,0.572756,-0.864491,3310
"(0,3457)(10675,28099940)(0,28099940)",NC_058126.1,14049970,132.81775,96.595999,0,0,0,-1.044931,1.341605,2.466811,0.609847,-0.86472,3457
"(0,2893)(152990,27547869)(0,27547869)",NC_058127.1,13773934,114.057199,79.197025,0,0,0,-1.170082,1.278178,2.460177,0.582076,-0.864277,2893
"(0,3361)(69374,26408897)(0,26408897)",NC_058128.1,13204448,120.615015,84.304874,0,0,0,-1.15286,1.287683,2.462724,0.585993,-0.864448,3361
"(0,2565)(42654,20523710)(0,20523710)",NC_058129.1,10261855,91.870135,58.83405,0,0,0,-1.37468,1.17463,2.448959,0.53658,-0.863522,2565
,,,3379.549714,2264.578768,,,,,,,,,92998
,,,0.036340026,0.024350833,,,,,,,,,
