"indexStart, indexStop; firstPos_withData, lastPos_withData; 
             WinStart, WinStop",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites,weightTajD
"(0,5496)(198988,41167387)(0,41167387)",NC_058106.1,20583693,376.030665,154.874367,0,0,0,-1.984071,0.812715,3.21268,0.258847,-0.572801,5496,-10904.45422
"(0,5030)(51073,39727501)(0,39727501)",NC_058107.1,19863750,355.687388,141.170332,0,0,0,-2.034342,0.7829,3.21068,0.249431,-0.572777,5030,-10232.74026
"(0,5009)(26262,38711224)(0,38711224)",NC_058108.1,19355612,366.839577,141.510604,0,0,0,-2.072048,0.761077,3.211803,0.242435,-0.572791,5009,-10378.88843
"(0,4839)(102929,37441233)(0,37441233)",NC_058109.1,18720616,367.184569,137.156442,0,0,0,-2.113277,0.736971,3.211837,0.234755,-0.572791,4839,-10226.1474
"(0,4658)(171116,36905529)(0,36905529)",NC_058110.1,18452764,345.137059,142.482824,0,0,0,-1.98046,0.814174,3.209551,0.259442,-0.572764,4658,-9224.98268
"(0,4797)(70683,36215715)(0,36215715)",NC_058111.1,18107857,349.872506,135.849655,0,0,0,-2.063314,0.765833,3.210066,0.244018,-0.57277,4797,-9897.717258
"(0,4885)(26212,35523366)(0,35523366)",NC_058112.1,17761683,351.723195,135.142198,0,0,0,-2.077014,0.757862,3.210264,0.24147,-0.572772,4885,-10146.21339
"(0,4761)(44023,35380660)(0,35380660)",NC_058113.1,17690330,340.806955,120.789677,0,0,0,-2.1774,0.698926,3.209068,0.222735,-0.572758,4761,-10366.6014
"(0,4919)(42336,35360521)(0,35360521)",NC_058114.1,17680260,339.651207,125.388873,0,0,0,-2.127645,0.727991,3.208937,0.232002,-0.572757,4919,-10465.88576
"(0,4944)(15643,35233826)(0,35233826)",NC_058115.1,17616913,343.359224,139.040031,0,0,0,-2.007047,0.798588,3.209355,0.254483,-0.572762,4944,-9922.840368
"(0,4633)(21061,34619659)(0,34619659)",NC_058116.1,17309829,331.040001,126.216587,0,0,0,-2.086701,0.751727,3.207934,0.239605,-0.572744,4633,-9667.685733
"(0,4317)(36769,34115335)(0,34115335)",NC_058117.1,17057667,323.052186,122.507667,0,0,0,-2.093507,0.747552,3.206955,0.238312,-0.572733,4317,-9037.669719
"(0,4439)(29056,32827750)(0,32827750)",NC_058118.1,16413875,329.74136,120.106132,0,0,0,-2.144115,0.718132,3.207778,0.228903,-0.572743,4439,-9517.726485
"(0,4473)(22477,31980415)(0,31980415)",NC_058119.1,15990207,327.108542,117.96578,0,0,0,-2.156254,0.710972,3.207458,0.226632,-0.572739,4473,-9644.924142
"(0,4406)(188964,30742201)(0,30742201)",NC_058120.1,15371100,322.698916,127.582966,0,0,0,-2.039062,0.779368,3.206911,0.248456,-0.572732,4406,-8984.107172
"(0,4457)(65356,30692303)(0,30692303)",NC_058121.1,15346151,336.944257,132.643087,0,0,0,-2.044991,0.776253,3.208627,0.247395,-0.572753,4457,-9114.524887
"(0,3966)(48524,30458237)(0,30458237)",NC_058122.1,15229118,288.333753,107.484851,0,0,0,-2.114623,0.734234,3.202087,0.234249,-0.572674,3966,-8386.594818
"(0,4050)(28982,30489522)(0,30489522)",NC_058123.1,15244761,317.274623,127.923608,0,0,0,-2.012565,0.794713,3.206218,0.253376,-0.572724,4050,-8150.88825
"(0,4149)(32931,30320438)(0,30320438)",NC_058124.1,15160219,319.884467,125.064161,0,0,0,-2.053843,0.770655,3.206554,0.245693,-0.572728,4149,-8521.394607
"(0,3804)(19911,28326287)(0,28326287)",NC_058125.1,14163143,263.585302,98.19871,0,0,0,-2.11487,0.73324,3.197852,0.234092,-0.572623,3804,-8044.96548
"(0,3982)(10680,28099949)(0,28099949)",NC_058126.1,14049974,295.682516,121.189733,0,0,0,-1.989725,0.807435,3.203211,0.257557,-0.572688,3982,-7923.08495
"(0,3453)(152990,27520991)(0,27520991)",NC_058127.1,13760495,257.043038,101.908652,0,0,0,-2.034112,0.780138,3.1966,0.249115,-0.572607,3453,-7023.788736
"(0,3635)(69369,26415816)(0,26415816)",NC_058128.1,13207908,283.862023,109.829794,0,0,0,-2.066888,0.761976,3.201376,0.243128,-0.572665,3635,-7513.13788
"(0,2826)(37393,20543623)(0,20543623)",NC_058129.1,10271811,207.55465,82.299488,0,0,0,-2.032491,0.778609,3.184642,0.249109,-0.572461,2826,-5743.819566
,,,7740.097979,2994.326219,,,,-2.067515208,,,,,105928,-219040.7836
,,,0.073069424,0.028267561,,,,,,,,,,-2.067827048
