"indexStart, indexStop; firstPos_withData, lastPos_withData; 
             WinStart, WinStop",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites
"(0,5389)(198993,41167392)(0,41167392)",NC_058106.1,20583696,284.597806,149.950894,0,0,0,-1.553526,1.051848,3.439203,0.310847,-0.523013,5389
"(0,4869)(40849,39663980)(0,39663980)",NC_058107.1,19831990,250.192961,126.311102,0,0,0,-1.625263,1.006702,3.431288,0.297825,-0.52295,4869
"(0,4722)(26264,38701453)(0,38701453)",NC_058108.1,19350726,257.981045,138.552801,0,0,0,-1.519676,1.071241,3.43326,0.316833,-0.522965,4722
"(0,4913)(102908,37441247)(0,37441247)",NC_058109.1,18720623,266.711433,144.249417,0,0,0,-1.507419,1.079104,3.435336,0.319069,-0.522982,4913
"(0,4678)(911932,36905513)(0,36905513)",NC_058110.1,18452756,251.365365,133.545314,0,0,0,-1.538548,1.059442,3.431593,0.313415,-0.522952,4678
"(0,4645)(70686,36215710)(0,36215710)",NC_058111.1,18107855,247.026839,128.308598,0,0,0,-1.577419,1.035602,3.430453,0.30641,-0.522943,4645
"(0,4753)(20587,35523366)(0,35523366)",NC_058112.1,17761683,267.932467,143.035515,0,0,0,-1.530406,1.06519,3.435616,0.314943,-0.522984,4753
"(0,4693)(43998,35380666)(0,35380666)",NC_058113.1,17690333,238.280283,110.978035,0,0,0,-1.753363,0.928275,3.428031,0.274745,-0.522923,4693
"(0,4989)(42321,35360518)(0,35360518)",NC_058114.1,17680259,255.109359,128.263093,0,0,0,-1.632181,1.002743,3.432546,0.296603,-0.52296,4989
"(0,4911)(15658,35233826)(0,35233826)",NC_058115.1,17616913,259.069279,136.741071,0,0,0,-1.550057,1.052833,3.433526,0.311378,-0.522968,4911
"(0,4382)(21061,34619661)(0,34619661)",NC_058116.1,17309830,238.087926,133.499944,0,0,0,-1.441674,1.117552,3.427976,0.330769,-0.522923,4382
"(0,4429)(53725,34115336)(0,34115336)",NC_058117.1,17057668,247.364134,130.071718,0,0,0,-1.556356,1.048415,3.430543,0.310197,-0.522944,4429
"(0,4191)(29032,32827747)(0,32827747)",NC_058118.1,16413873,232.406622,120.030334,0,0,0,-1.586771,1.029107,3.426306,0.30466,-0.522909,4191
"(0,4524)(22485,31980417)(0,31980417)",NC_058119.1,15990208,232.774674,115.949522,0,0,0,-1.64699,0.992563,3.426417,0.293837,-0.52291,4524
"(0,4369)(208959,30710015)(0,30710015)",NC_058120.1,15355007,233.836801,114.834006,0,0,0,-1.670095,0.978595,3.426734,0.28969,-0.522913,4369
"(0,4375)(65355,30692309)(0,30692309)",NC_058121.1,15346154,244.530966,135.141239,0,0,0,-1.468259,1.101774,3.429779,0.326019,-0.522938,4375
"(0,4108)(48524,30491482)(0,30491482)",NC_058122.1,15245741,209.407601,106.563362,0,0,0,-1.611079,1.01285,3.418652,0.300162,-0.522847,4108
"(0,4058)(56537,30489521)(0,30489521)",NC_058123.1,15244760,224.589184,116.313311,0,0,0,-1.581906,1.031582,3.423875,0.305495,-0.52289,4058
"(0,4442)(26160,30318927)(0,30318927)",NC_058124.1,15159463,239.962054,129.506399,0,0,0,-1.510703,1.075739,3.42851,0.31837,-0.522927,4442
"(0,3809)(19915,28326302)(0,28326302)",NC_058125.1,14163151,204.766754,114.655609,0,0,0,-1.443484,1.114176,3.416906,0.330269,-0.522833,3809
"(0,3888)(10675,28099940)(0,28099940)",NC_058126.1,14049970,211.939671,105.969818,0,0,0,-1.640282,0.99531,3.419573,0.294927,-0.522855,3888
"(0,3316)(152990,27547869)(0,27547869)",NC_058127.1,13773934,192.097347,101.577077,0,0,0,-1.545287,1.051382,3.411726,0.311878,-0.522791,3316
"(0,3790)(69374,26408897)(0,26408897)",NC_058128.1,13204448,211.89138,112.979158,0,0,0,-1.531386,1.061384,3.419556,0.314506,-0.522855,3790
"(0,2875)(41881,20543616)(0,20543616)",NC_058129.1,10271808,148.838076,85.544807,0,0,0,-1.392902,1.138711,3.387705,0.338909,-0.522593,2875
,,,5650.760027,2962.572144,,,,,,,,,105118
,,,0.05375635,0.0281833,,,,,,,,,
