"indexStart, indexStop; firstPos_withData, lastPos_withData; 
             WinStart, WinStop",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites,weightedTajD
"(0,5326)(198993,41167392)(0,41167392)",NC_058106.1,20583696,258.546253,149.600582,0,0,0,-1.515642,1.102304,2.764285,0.421732,-0.708941,5326,-8072.309292
"(0,4822)(40849,39663980)(0,39663980)",NC_058107.1,19831990,225.88441,126.809383,0,0,0,-1.57698,1.068294,2.759828,0.409126,-0.708806,4822,-7604.19756
"(0,4693)(26264,38701453)(0,38701453)",NC_058108.1,19350726,233.593313,140.336649,0,0,0,-1.435535,1.143568,2.76099,0.43784,-0.708842,4693,-6736.965755
"(0,4874)(102908,37441247)(0,37441247)",NC_058109.1,18720623,240.650035,142.820887,0,0,0,-1.461896,1.129964,2.76199,0.432536,-0.708872,4874,-7125.281104
"(0,4635)(911932,36905513)(0,36905513)",NC_058110.1,18452756,226.900126,130.886726,0,0,0,-1.521429,1.09775,2.759986,0.420392,-0.708811,4635,-7051.823415
"(0,4606)(70686,36215710)(0,36215710)",NC_058111.1,18107855,225.465827,129.065209,0,0,0,-1.537251,1.089299,2.759763,0.417177,-0.708804,4606,-7080.578106
"(0,4704)(20587,35523366)(0,35523366)",NC_058112.1,17761683,237.722689,143.840443,0,0,0,-1.420138,1.151928,2.761582,0.440983,-0.70886,4704,-6680.329152
"(0,4659)(43998,35380666)(0,35380666)",NC_058113.1,17690333,209.299629,109.311733,0,0,0,-1.717183,0.993169,2.757044,0.380592,-0.708722,4659,-8000.355597
"(0,4941)(42321,35360518)(0,35360518)",NC_058114.1,17680259,221.03157,126.570205,0,0,0,-1.536447,1.08948,2.759056,0.417312,-0.708783,4941,-7591.584627
"(0,4865)(15658,35233826)(0,35233826)",NC_058115.1,17616913,237.609078,139.468835,0,0,0,-1.485256,1.117448,2.761566,0.427785,-0.708859,4865,-7225.77044
"(0,4348)(21061,34619661)(0,34619661)",NC_058116.1,17309830,210.274836,133.686044,0,0,0,-1.30925,1.209045,2.757219,0.4633,-0.708727,4348,-5692.619
"(0,4402)(53725,34115336)(0,34115336)",NC_058117.1,17057668,222.06165,129.775231,0,0,0,-1.49413,1.111933,2.759222,0.425896,-0.708788,4402,-6577.16026
"(0,4153)(29032,32827747)(0,32827747)",NC_058118.1,16413873,211.911656,122.436639,0,0,0,-1.51776,1.098833,2.757511,0.42104,-0.708736,4153,-6303.25728
"(0,4490)(22485,31980417)(0,31980417)",NC_058119.1,15990208,212.460686,115.922212,0,0,0,-1.63336,1.037705,2.757607,0.397609,-0.708739,4490,-7333.7864
"(0,4324)(208959,30710015)(0,30710015)",NC_058120.1,15355007,208.227483,113.454588,0,0,0,-1.635972,1.036067,2.756849,0.397048,-0.708716,4324,-7073.942928
"(0,4346)(65355,30692309)(0,30692309)",NC_058121.1,15346154,223.585059,132.899839,0,0,0,-1.458235,1.131015,2.759466,0.433182,-0.708795,4346,-6337.48931
"(0,4074)(48524,30491482)(0,30491482)",NC_058122.1,15245741,186.747212,104.698,0,0,0,-1.578614,1.064915,2.752482,0.408503,-0.708583,4074,-6431.273436
"(0,4030)(56537,30489521)(0,30489521)",NC_058123.1,15244760,199.551286,118.078676,0,0,0,-1.467308,1.124713,2.755196,0.43118,-0.708665,4030,-5913.25124
"(0,4395)(26160,30318927)(0,30318927)",NC_058124.1,15159463,217.113228,128.442587,0,0,0,-1.468201,1.125369,2.758407,0.431121,-0.708763,4395,-6452.743395
"(0,3787)(19915,28326302)(0,28326302)",NC_058125.1,14163151,183.054118,113.10298,0,0,0,-1.372894,1.173364,2.751631,0.450191,-0.708557,3787,-5199.149578
"(0,3843)(10675,28099940)(0,28099940)",NC_058126.1,14049970,187.851242,104.57313,0,0,0,-1.592878,1.057459,2.75273,0.405621,-0.70859,3843,-6121.430154
"(0,3283)(152990,27547869)(0,27547869)",NC_058127.1,13773934,172.1847,101.262535,0,0,0,-1.479451,1.116087,2.748918,0.428475,-0.708473,3283,-4857.037633
"(0,3768)(69374,26408897)(0,26408897)",NC_058128.1,13204448,192.448453,114.147973,0,0,0,-1.462028,1.12699,2.753734,0.432194,-0.708621,3768,-5508.921504
"(0,2842)(41881,20543616)(0,20543616)",NC_058129.1,10271808,133.429969,84.08969,0,0,0,-1.326572,1.192058,2.735762,0.459001,-0.708067,2842,-3770.117624
,,,5077.604508,2955.280776,,,,-1.50018375,,,,,104210,-156741.3748
,,,0.048724734,0.028358898,,,,,,,,,,-1.504091496
