"indexStart, indexStop; firstPos_withData, lastPos_withData; 
             WinStart, WinStop",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites
"(0,5209)(198993,41167392)(0,41167392)",NC_058106.1,20583696,359.129313,172.853589,0,0,0,-1.726347,0.956137,3.327892,0.293009,-0.547129,5209
"(0,4666)(113249,39663980)(0,39663980)",NC_058107.1,19831990,314.738672,148.169649,0,0,0,-1.760903,0.934336,3.322109,0.286572,-0.547072,4666
"(0,4532)(26264,38689358)(0,38689358)",NC_058108.1,19344679,317.173036,150.231855,0,0,0,-1.751325,0.940122,3.322468,0.288331,-0.547076,4532
"(0,4737)(102908,37441247)(0,37441247)",NC_058109.1,18720623,337.643534,169.01224,0,0,0,-1.662047,0.993968,3.325279,0.304719,-0.547103,4737
"(0,4483)(918070,36905513)(0,36905513)",NC_058110.1,18452756,310.664962,151.261361,0,0,0,-1.707196,0.966245,3.321498,0.296385,-0.547066,4483
"(0,4479)(70686,36215710)(0,36215710)",NC_058111.1,18107855,310.059172,145.589961,0,0,0,-1.764881,0.93182,3.321405,0.28583,-0.547066,4479
"(0,4578)(20587,35523366)(0,35523366)",NC_058112.1,17761683,321.917006,155.997005,0,0,0,-1.715023,0.961918,3.32315,0.294986,-0.547083,4578
"(0,4546)(43998,35380666)(0,35380666)",NC_058113.1,17690333,294.512702,130.644837,0,0,0,-1.851007,0.879956,3.318909,0.27002,-0.547041,4546
"(0,4795)(42321,35360518)(0,35360518)",NC_058114.1,17680259,318.384343,149.064089,0,0,0,-1.769542,0.929292,3.322644,0.285002,-0.547078,4795
"(0,4767)(15658,35233826)(0,35233826)",NC_058115.1,17616913,328.77084,153.456397,0,0,0,-1.774439,0.926666,3.324103,0.284136,-0.547092,4767
"(0,4195)(21061,34619661)(0,34619661)",NC_058116.1,17309830,294.801031,144.216372,0,0,0,-1.699305,0.970424,3.318958,0.297779,-0.547042,4195
"(0,4296)(53725,34115336)(0,34115336)",NC_058117.1,17057668,311.376309,150.83833,0,0,0,-1.715427,0.961358,3.321606,0.294882,-0.547067,4296
"(0,4029)(29032,32827747)(0,32827747)",NC_058118.1,16413873,289.895929,139.720165,0,0,0,-1.723289,0.955949,3.318118,0.293374,-0.547033,4029
"(0,4391)(22485,31980417)(0,31980417)",NC_058119.1,15990208,300.421973,139.089428,0,0,0,-1.786615,0.91855,3.319888,0.281822,-0.547051,4391
"(0,4242)(208959,30710007)(0,30710007)",NC_058120.1,15355003,289.217872,136.522607,0,0,0,-1.756297,0.936244,3.318,0.287332,-0.547032,4242
"(0,4241)(65355,30692309)(0,30692309)",NC_058121.1,15346154,310.152607,159.776171,0,0,0,-1.61317,1.02231,3.32142,0.313587,-0.547066,4241
"(0,3993)(48524,30491482)(0,30491482)",NC_058122.1,15245741,262.675425,125.202364,0,0,0,-1.74052,0.944602,3.312899,0.290116,-0.546982,3993
"(0,3912)(56537,30489521)(0,30489521)",NC_058123.1,15244760,267.535407,129.548863,0,0,0,-1.715376,0.959795,3.313907,0.294738,-0.546992,3912
"(0,4276)(26160,30318927)(0,30318927)",NC_058124.1,15159463,301.138371,151.748663,0,0,0,-1.650433,0.999786,3.320004,0.306742,-0.547052,4276
"(0,3652)(47916,28326302)(0,28326302)",NC_058125.1,14163151,256.083968,136.062859,0,0,0,-1.558559,1.052723,3.311473,0.323391,-0.546968,3652
"(0,3752)(10675,28099940)(0,28099940)",NC_058126.1,14049970,267.685462,127.965345,0,0,0,-1.735956,0.947536,3.313937,0.290972,-0.546992,3752
"(0,3179)(152990,27547869)(0,27547869)",NC_058127.1,13773934,233.756233,112.949243,0,0,0,-1.718115,0.956534,3.306061,0.294079,-0.546914,3179
"(0,3666)(69374,26408897)(0,26408897)",NC_058128.1,13204448,258.010974,129.627951,0,0,0,-1.65473,0.995513,3.311897,0.305797,-0.546972,3666
"(0,2797)(42654,20543616)(0,20543616)",NC_058129.1,10271808,186.985658,96.099093,0,0,0,-1.614574,1.014878,3.29068,0.312736,-0.546761,2797
,,,7042.730799,3405.648437,,,,,,,,,101413
,,,0.069446036,0.033581971,,,,,,,,,
