"indexStart, indexStop; firstPos_withData, lastPos_withData; 
             WinStart, WinStop",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites
"(0,5413)(198988,41167387)(0,41167387)",NC_058106.1,20583693,303.269214,155.159543,0,0,0,-1.795514,0.966503,2.662872,0.390916,-0.758442,5413
"(0,4928)(51073,39727501)(0,39727501)",NC_058107.1,19863750,280.20127,135.342162,0,0,0,-1.900314,0.911995,2.660969,0.369039,-0.758367,4928
"(0,4923)(26262,38711224)(0,38711224)",NC_058108.1,19355612,283.272856,137.369249,0,0,0,-1.893314,0.915685,2.66124,0.370507,-0.758378,4923
"(0,4766)(102929,37441233)(0,37441233)",NC_058109.1,18720616,290.714915,137.806227,0,0,0,-1.933546,0.895236,2.661874,0.362178,-0.758403,4766
"(0,4568)(171116,36905529)(0,36905529)",NC_058110.1,18452764,273.594115,139.57154,0,0,0,-1.800504,0.96305,2.660366,0.389754,-0.758343,4568
"(0,4730)(70683,36215715)(0,36215715)",NC_058111.1,18107857,276.018253,134.84438,0,0,0,-1.879963,0.922317,2.66059,0.373249,-0.758352,4730
"(0,4816)(26212,35523366)(0,35523366)",NC_058112.1,17761683,286.488624,137.813428,0,0,0,-1.907678,0.908402,2.661518,0.367536,-0.758389,4816
"(0,4693)(44023,35380660)(0,35380660)",NC_058113.1,17690330,263.97319,119.52458,0,0,0,-2.011107,0.854568,2.659434,0.345928,-0.758306,4693
"(0,4837)(42336,35360521)(0,35360521)",NC_058114.1,17680260,263.277662,123.055728,0,0,0,-1.957404,0.882122,2.659364,0.357088,-0.758304,4837
"(0,4853)(15643,35233826)(0,35233826)",NC_058115.1,17616913,274.224335,136.137136,0,0,0,-1.850857,0.937208,2.660424,0.379291,-0.758346,4853
"(0,4546)(21061,34619659)(0,34619659)",NC_058116.1,17309829,269.056223,126.512066,0,0,0,-1.947198,0.887558,2.659934,0.35924,-0.758326,4546
"(0,4250)(36769,34115335)(0,34115335)",NC_058117.1,17057667,259.334555,121.045834,0,0,0,-1.959688,0.880811,2.65896,0.356592,-0.758288,4250
"(0,4364)(29056,32827750)(0,32827750)",NC_058118.1,16413875,260.42443,118.41238,0,0,0,-2.004053,0.858069,2.659073,0.347376,-0.758292,4364
"(0,4409)(22477,31980415)(0,31980415)",NC_058119.1,15990207,256.41199,118.526249,0,0,0,-1.976187,0.872235,2.658653,0.353146,-0.758276,4409
"(0,4344)(188964,30742201)(0,30742201)",NC_058120.1,15371100,257.380697,125.575257,0,0,0,-1.881954,0.920656,2.658756,0.372742,-0.75828,4344
"(0,4388)(65356,30692303)(0,30692303)",NC_058121.1,15346151,280.986568,133.284793,0,0,0,-1.932203,0.895639,2.661039,0.362414,-0.75837,4388
"(0,3908)(48524,30458237)(0,30458237)",NC_058122.1,15229118,225.673069,106.527201,0,0,0,-1.939465,0.889819,2.65495,0.360587,-0.758129,3908
"(0,3970)(28982,30489522)(0,30489522)",NC_058123.1,15244761,250.091589,122.85866,0,0,0,-1.869463,0.926793,2.657965,0.375298,-0.758248,3970
"(0,4075)(32931,30320438)(0,30320438)",NC_058124.1,15160219,258.899544,127.205527,0,0,0,-1.869362,0.927177,2.658915,0.375367,-0.758286,4075
"(0,3747)(19911,28326287)(0,28326287)",NC_058125.1,14163143,208.397294,98.881133,0,0,0,-1.92999,0.893801,2.652398,0.362424,-0.758028,3747
"(0,3914)(10680,28099949)(0,28099949)",NC_058126.1,14049974,233.439543,119.11118,0,0,0,-1.799317,0.962099,2.655976,0.389782,-0.75817,3914
"(0,3393)(152990,27520991)(0,27520991)",NC_058127.1,13760495,201.695278,101.658679,0,0,0,-1.821306,0.949156,2.651293,0.384973,-0.757984,3393
"(0,3577)(69369,26408894)(0,26408894)",NC_058128.1,13204447,228.879234,110.809186,0,0,0,-1.895113,0.912728,2.655382,0.369832,-0.758146,3577
"(0,2776)(37393,20543623)(0,20543623)",NC_058129.1,10271811,171.388231,84.336432,0,0,0,-1.863998,0.925138,2.64524,0.375781,-0.757742,2776
,,,6157.092679,2971.36855,,,,,,,,,104188
,,,0.059095987,0.028519297,,,,,,,,,
