"indexStart, indexStop; firstPos_withData, lastPos_withData; 
             WinStart, WinStop",Chr,WinCenter,tW,tP,tF,tH,tL,Tajima,fuf,fud,fayh,zeng,nSites
"(0,5489)(198988,41167387)(0,41167387)",NC_058106.1,20583693,311.959181,154.852876,0,0,0,-1.787579,0.953083,2.846248,0.350944,-0.67864,5489
"(0,5018)(51073,39727501)(0,39727501)",NC_058107.1,19863750,293.815629,141.75118,0,0,0,-1.836788,0.925945,2.844505,0.341076,-0.678596,5018
"(0,4991)(26262,38711224)(0,38711224)",NC_058108.1,19355612,303.877654,141.217084,0,0,0,-1.899878,0.892117,2.845497,0.328547,-0.678621,4991
"(0,4820)(102929,37441233)(0,37441233)",NC_058109.1,18720616,297.265274,135.87778,0,0,0,-1.926835,0.87735,2.844852,0.323152,-0.678605,4820
"(0,4648)(171116,36905529)(0,36905529)",NC_058110.1,18452764,288.468651,142.220954,0,0,0,-1.799187,0.946112,2.84395,0.348545,-0.678582,4648
"(0,4785)(70683,36215715)(0,36215715)",NC_058111.1,18107857,284.053026,135.039744,0,0,0,-1.861634,0.912204,2.843476,0.336087,-0.67857,4785
"(0,4868)(26212,35523366)(0,35523366)",NC_058112.1,17761683,286.156464,132.249037,0,0,0,-1.90868,0.886832,2.843704,0.326723,-0.678576,4868
"(0,4749)(44023,35380660)(0,35380660)",NC_058113.1,17690330,279.840409,120.907144,0,0,0,-2.015377,0.828942,2.843011,0.30544,-0.678559,4749
"(0,4906)(42336,35360521)(0,35360521)",NC_058114.1,17680260,275.510973,125.580788,0,0,0,-1.931008,0.874414,2.842518,0.322229,-0.678546,4906
"(0,4929)(15643,35233826)(0,35233826)",NC_058115.1,17616913,279.93411,136.849593,0,0,0,-1.813798,0.937932,2.843021,0.345599,-0.678559,4929
"(0,4622)(21061,34619659)(0,34619659)",NC_058116.1,17309829,269.775251,124.719417,0,0,0,-1.907842,0.88674,2.84184,0.326818,-0.678529,4622
"(0,4298)(36769,34115335)(0,34115335)",NC_058117.1,17057667,269.148079,122.906548,0,0,0,-1.927906,0.875872,2.841765,0.322817,-0.678527,4298
"(0,4422)(29056,32827750)(0,32827750)",NC_058118.1,16413875,270.338427,119.069913,0,0,0,-1.98542,0.844823,2.841908,0.311364,-0.678531,4422
"(0,4467)(22477,31980415)(0,31980415)",NC_058119.1,15990207,262.985558,117.578914,0,0,0,-1.961693,0.857388,2.841001,0.316055,-0.678508,4467
"(0,4397)(188964,30742201)(0,30742201)",NC_058120.1,15371100,266.735675,127.671999,0,0,0,-1.849815,0.917998,2.84147,0.338364,-0.67852,4397
"(0,4445)(65356,30692303)(0,30692303)",NC_058121.1,15346151,278.718768,131.105946,0,0,0,-1.879339,0.902456,2.842884,0.332537,-0.678555,4445
"(0,3955)(48524,30458237)(0,30458237)",NC_058122.1,15229118,241.126732,108.122935,0,0,0,-1.956533,0.859304,2.837985,0.316963,-0.678432,3955
"(0,4034)(56528,30489522)(0,30489522)",NC_058123.1,15244761,265.180195,128.557143,0,0,0,-1.827981,0.929742,2.841277,0.342707,-0.678515,4034
"(0,4138)(32931,30320438)(0,30320438)",NC_058124.1,15160219,260.677319,122.406396,0,0,0,-1.881896,0.900432,2.840706,0.331943,-0.6785,4138
"(0,3792)(19911,28326287)(0,28326287)",NC_058125.1,14163143,215.398533,97.669091,0,0,0,-1.937996,0.868063,2.833667,0.320486,-0.678322,3792
"(0,3970)(10680,28099949)(0,28099949)",NC_058126.1,14049974,248.133128,121.580627,0,0,0,-1.809222,0.939199,2.839008,0.346358,-0.678458,3970
"(0,3448)(152990,27520991)(0,27520991)",NC_058127.1,13760495,220.162825,102.905248,0,0,0,-1.888598,0.894991,2.834541,0.330367,-0.678344,3448
"(0,3631)(69369,26415816)(0,26415816)",NC_058128.1,13207908,238.927971,108.558101,0,0,0,-1.935382,0.870635,2.837651,0.321165,-0.678423,3631
"(0,2819)(37393,20543623)(0,20543623)",NC_058129.1,10271811,166.670868,80.690923,0,0,0,-1.827323,0.924286,2.821936,0.342093,-0.678022,2819
,,,6374.8607,2980.089381,,,,,,,,,105641
,,,0.06034457,0.028209591,,,,,,,,,
